"GC EI Compounds ID"	"New CD Table ID"	"New CD Table WorkflowID"
426	426	239
427	427	239
428	428	239
429	429	239
430	430	239
431	431	239
432	432	239
433	433	239
434	434	239
435	435	239
436	436	239
437	437	239
438	438	239
439	439	239
440	440	239
441	441	239
442	442	239
443	443	239
444	444	239
445	445	239
446	446	239
447	447	239
448	448	239
449	449	239
450	450	239
451	451	239
452	452	239
453	453	239
454	454	239
455	455	239
456	456	239
457	457	239
458	458	239
459	459	239
460	460	239
461	461	239
462	462	239
463	463	239
464	464	239
465	465	239
466	466	239
467	467	239
468	468	239
469	469	239
470	470	239
471	471	239
472	472	239
473	473	239
474	474	239
475	475	239
476	476	239
477	477	239
478	478	239
479	479	239
480	480	239
481	481	239
482	482	239
483	483	239
484	484	239
485	485	239
486	486	239
487	487	239
488	488	239
489	489	239
490	490	239
491	491	239
492	492	239
493	493	239
494	494	239
495	495	239
496	496	239
497	497	239
498	498	239
499	499	239
500	500	239
501	501	239
502	502	239
503	503	239
504	504	239
505	505	239
506	506	239
507	507	239
508	508	239
509	509	239
510	510	239
511	511	239
512	512	239
513	513	239
514	514	239
515	515	239
516	516	239
517	517	239
518	518	239
519	519	239
520	520	239
521	521	239
522	522	239
523	523	239
524	524	239
525	525	239
526	526	239
527	527	239
528	528	239
529	529	239
530	530	239
531	531	239
532	532	239
533	533	239
534	534	239
535	535	239
536	536	239
537	537	239
538	538	239
539	539	239
540	540	239
541	541	239
542	542	239
543	543	239
544	544	239
545	545	239
546	546	239
547	547	239
548	548	239
549	549	239
550	550	239
551	551	239
552	552	239
553	553	239
554	554	239
555	555	239
556	556	239
557	557	239
558	558	239
559	559	239
560	560	239
561	561	239
562	562	239
563	563	239
564	564	239
565	565	239
566	566	239
567	567	239
568	568	239
569	569	239
570	570	239
571	571	239
572	572	239
573	573	239
574	574	239
575	575	239
576	576	239
577	577	239
578	578	239
579	579	239
580	580	239
581	581	239
582	582	239
583	583	239
584	584	239
585	585	239
586	586	239
587	587	239
588	588	239
589	589	239
590	590	239
591	591	239
592	592	239
593	593	239
594	594	239
595	595	239
596	596	239
597	597	239
598	598	239
599	599	239
600	600	239
601	601	239
602	602	239
603	603	239
604	604	239
605	605	239
606	606	239
607	607	239
608	608	239
609	609	239
610	610	239
611	611	239
612	612	239
613	613	239
614	614	239
615	615	239
616	616	239
617	617	239
618	618	239
619	619	239
620	620	239
621	621	239
622	622	239
623	623	239
624	624	239
625	625	239
626	626	239
627	627	239
628	628	239
629	629	239
630	630	239
631	631	239
632	632	239
633	633	239
634	634	239
635	635	239
636	636	239
637	637	239
638	638	239
639	639	239
640	640	239
641	641	239
642	642	239
643	643	239
644	644	239
645	645	239
646	646	239
647	647	239
648	648	239
649	649	239
650	650	239
651	651	239
652	652	239
653	653	239
654	654	239
655	655	239
656	656	239
657	657	239
658	658	239
659	659	239
660	660	239
661	661	239
662	662	239
663	663	239
664	664	239
665	665	239
666	666	239
667	667	239
668	668	239
669	669	239
670	670	239
671	671	239
672	672	239
673	673	239
674	674	239
675	675	239
676	676	239
677	677	239
678	678	239
679	679	239
680	680	239
681	681	239
682	682	239
683	683	239
684	684	239
685	685	239
686	686	239
687	687	239
688	688	239
689	689	239
690	690	239
691	691	239
692	692	239
693	693	239
694	694	239
695	695	239
696	696	239
697	697	239
698	698	239
699	699	239
700	700	239
701	701	239
702	702	239
703	703	239
704	704	239
705	705	239
706	706	239
707	707	239
708	708	239
709	709	239
710	710	239
711	711	239
712	712	239
713	713	239
714	714	239
715	715	239
716	716	239
717	717	239
718	718	239
719	719	239
720	720	239
721	721	239
722	722	239
723	723	239
724	724	239
725	725	239
726	726	239
727	727	239
728	728	239
729	729	239
730	730	239
731	731	239
732	732	239
733	733	239
734	734	239
735	735	239
736	736	239
737	737	239
738	738	239
739	739	239
740	740	239
741	741	239
742	742	239
743	743	239
744	744	239
745	745	239
746	746	239
747	747	239
748	748	239
749	749	239
750	750	239
751	751	239
752	752	239
753	753	239
754	754	239
755	755	239
756	756	239
757	757	239
758	758	239
759	759	239
760	760	239
761	761	239
762	762	239
763	763	239
764	764	239
765	765	239
766	766	239
767	767	239
768	768	239
769	769	239
770	770	239
771	771	239
772	772	239
773	773	239
774	774	239
775	775	239
776	776	239
777	777	239
778	778	239
779	779	239
780	780	239
781	781	239
782	782	239
783	783	239
784	784	239
785	785	239
786	786	239
787	787	239
788	788	239
789	789	239
790	790	239
791	791	239
792	792	239
793	793	239
794	794	239
795	795	239
796	796	239
797	797	239
798	798	239
799	799	239
800	800	239
801	801	239
802	802	239
803	803	239
804	804	239
805	805	239
806	806	239
807	807	239
808	808	239
809	809	239
810	810	239
811	811	239
812	812	239
813	813	239
814	814	239
815	815	239
816	816	239
817	817	239
818	818	239
819	819	239
820	820	239
821	821	239
822	822	239
823	823	239
824	824	239
825	825	239
826	826	239
827	827	239
828	828	239
829	829	239
830	830	239
831	831	239
832	832	239
